stage,architecture_name,architecture_shape,train_fraction,learning_rate,init_seed,split_seed,max_power,batch_size,train_samples,test_samples,final_step,best_step,final_loss,best_loss,final_accuracy,best_accuracy,elapsed_seconds
architecture_screen,tiny_shallow,4 -> 1,0.8,0.01,11,20260407,14,256,14320,3578,16384,16384,0.03307997319821197,0.03307997319821197,0.9686975964225825,0.9686975964225825,0.6422759999986738
architecture_screen,small_shallow,8 -> 1,0.8,0.01,11,20260407,14,256,14320,3578,16384,16384,0.026096356745820268,0.026096356745820268,0.9689770821688094,0.9689770821688094,0.7311991250608116
architecture_screen,medium_shallow,32 -> 1,0.8,0.01,11,20260407,14,256,14320,3578,16384,16384,0.023654417580042993,0.023654417580042993,0.9698155394074902,0.9698155394074902,1.83277720795013
architecture_screen,medium_tapered,32 -> 16 -> 1,0.8,0.01,11,20260407,14,256,14320,3578,16384,16384,0.027206700229580855,0.027206700229580855,0.9692565679150363,0.9692565679150363,2.473131958860904
architecture_screen,medium_flat_deep,16 -> 16 -> 16 -> 1,0.8,0.01,11,20260407,14,256,14320,3578,16384,16384,0.06880351107788166,0.06880351107788166,0.9086081609837898,0.9086081609837898,2.5309476249385625
architecture_screen,wide_flat_deep,32 -> 32 -> 32 -> 1,0.8,0.01,11,20260407,14,256,14320,3578,16384,16384,0.07145897346627406,0.07145897346627406,0.9086081609837898,0.9086081609837898,4.640692749992013
architecture_screen,wide_tapered,64 -> 32 -> 1,0.8,0.01,11,20260407,14,256,14320,3578,16384,16384,0.02530840960141505,0.02530840960141505,0.9712129681386249,0.9712129681386249,4.303378041135147
architecture_screen,wide_tapered_deep,64 -> 32 -> 16 -> 1,0.8,0.01,11,20260407,14,256,14320,3578,16384,16384,0.054317915397061704,0.054317915397061704,0.9086081609837898,0.9086081609837898,5.14743237500079
architecture_screen,bottleneck,64 -> 16 -> 64 -> 1,0.8,0.01,11,20260407,14,256,14320,3578,16384,16384,0.06356608926097253,0.06356608926097253,0.9086081609837898,0.9086081609837898,5.872694208985195
architecture_screen,large_tapered,128 -> 128 -> 64 -> 8 -> 1,0.8,0.01,11,20260407,14,256,14320,3578,16384,16384,0.07972275226025251,0.07972275226025251,0.9086081609837898,0.9086081609837898,14.25116016692482
architecture_confirm,wide_tapered,64 -> 32 -> 1,0.8,0.01,11,20260407,15,256,14320,3578,32768,16384,0.023419417745083118,0.02530840960141505,0.970653996646171,0.9712129681386249,8.561543541960418
architecture_confirm,wide_tapered,64 -> 32 -> 1,0.8,0.01,23,20260407,15,256,14320,3578,32768,32768,0.023446499335698767,0.023446499335698767,0.9714924538848518,0.9714924538848518,8.424712541978806
architecture_confirm,wide_tapered,64 -> 32 -> 1,0.8,0.01,47,20260407,15,256,14320,3578,32768,16384,0.02310268132633464,0.02482802596411289,0.970653996646171,0.9714924538848518,8.496775333071128
architecture_confirm,medium_shallow,32 -> 1,0.8,0.01,11,20260407,15,256,14320,3578,32768,32768,0.022543491373277658,0.022543491373277658,0.9703745108999441,0.9703745108999441,3.3174536251462996
architecture_confirm,medium_shallow,32 -> 1,0.8,0.01,23,20260407,15,256,14320,3578,32768,8192,0.023195011729316505,0.02527257686181068,0.9700950251537171,0.970933482392398,3.423531875014305
architecture_confirm,medium_shallow,32 -> 1,0.8,0.01,47,20260407,15,256,14320,3578,32768,16384,0.022967816699516367,0.024504814248939584,0.9703745108999441,0.970653996646171,3.3612850829958916
architecture_confirm,medium_tapered,32 -> 16 -> 1,0.8,0.01,11,20260407,15,256,14320,3578,32768,32768,0.02368469801941208,0.02368469801941208,0.9703745108999441,0.9703745108999441,4.848047124920413
architecture_confirm,medium_tapered,32 -> 16 -> 1,0.8,0.01,23,20260407,15,256,14320,3578,32768,32768,0.023666404820951316,0.023666404820951316,0.9703745108999441,0.9703745108999441,4.931850708089769
architecture_confirm,medium_tapered,32 -> 16 -> 1,0.8,0.01,47,20260407,15,256,14320,3578,32768,32768,0.02403328195694041,0.02403328195694041,0.9700950251537171,0.9700950251537171,4.89663904113695
architecture_confirm,small_shallow,8 -> 1,0.8,0.01,11,20260407,15,256,14320,3578,32768,32768,0.02403177739106874,0.02403177739106874,0.9703745108999441,0.9703745108999441,1.3824799580033869
architecture_confirm,small_shallow,8 -> 1,0.8,0.01,23,20260407,15,256,14320,3578,32768,32768,0.02632649231860357,0.02632649231860357,0.9681386249301286,0.9681386249301286,1.4003347910474986
architecture_confirm,small_shallow,8 -> 1,0.8,0.01,47,20260407,15,256,14320,3578,32768,32768,0.02902175638412794,0.02902175638412794,0.9698155394074902,0.9698155394074902,1.4430317080114037
train_split,wide_tapered,64 -> 32 -> 1,0.6,0.01,11,20260407,15,256,10740,7158,32768,16384,0.021602834403702573,0.023588566112976394,0.9734562727018721,0.9738753841855267,8.619829917093739
train_split,wide_tapered,64 -> 32 -> 1,0.6,0.01,23,20260407,15,256,10740,7158,32768,32768,0.021587830839213642,0.021587830839213642,0.9735959765297569,0.9735959765297569,8.384721500100568
train_split,wide_tapered,64 -> 32 -> 1,0.6,0.01,47,20260407,15,256,10740,7158,32768,16384,0.021280361364381814,0.022897376932064405,0.9735959765297569,0.9745739033249511,8.507188958115876
train_split,wide_tapered,64 -> 32 -> 1,0.7,0.01,11,20260407,15,256,12530,5368,32768,32768,0.02276870094995676,0.02276870094995676,0.9724292101341282,0.9724292101341282,8.529670750023797
